Team,Elo_Rating
Biafra,1504.1315728182492
Kyrgyzstan,1503.1244236229354
Mapuche,1503.11758249458
Indonesia,1503.064376345022
Délvidék,1501.7484231283152
Saint Barthélemy,1500.2570146749479
Crimea,1499.2764200923814
Madagascar,1498.7484088463202
Sápmi,1498.3535132964164
French Guiana,1498.1810133586484
Gambia,1497.7424301356868
Brittany,1497.6234506854526
Malaysia,1497.5816002195231
Iceland,1497.446946966001
Republic of St. Pauli,1497.178026057124
Galicia,1496.6890429603877
Felvidék,1496.0535241054592
Yoruba Nation,1495.4269856422377
United Koreans in Japan,1495.3032502117721
Somaliland,1493.7605825998312
Vietnam,1493.5790851245272
Åland Islands,1491.2151652664336
Gotland,1490.7525914225491
Monaco,1490.6361156891728
Matabeleland,1489.4652659060403
Romani people,1488.6935272429125
Greenland,1488.3223466416423
Franconia,1487.905527902388
Hmong,1487.4243095818367
Aymara,1486.917641311592
Wallis Islands and Futuna,1485.9196993417056
Finland,1485.7495764286653
Székely Land,1484.8731391233803
Sierra Leone,1482.9969379435747
Mayotte,1482.9528404364564
Mozambique,1482.390784621299
Kabylia,1482.3081969594662
Papua New Guinea,1481.5796934292887
East Turkestan,1481.4533816018431
Puerto Rico,1479.3871083949089
Găgăuzia,1478.9177486702336
Kenya,1477.702445680715
Niger,1477.5663444433303
Equatorial Guinea,1477.4970440747943
South Ossetia,1477.3292501662938
Sealand,1477.1055758299012
Marshall Islands,1475.9395272038148
Vanuatu,1473.8198571050013
Ticino,1473.287806754541
Raetia,1471.2908638024414
Western Sahara,1470.5716355407044
Gozo,1469.948672977545
Western Isles,1469.7758109520641
Solomon Islands,1469.6918250400422
Turkmenistan,1466.2360988084665
Two Sicilies,1463.8289996631283
Ambazonia,1463.1433613691381
Micronesia,1462.9719131944885
Malawi,1462.2362157141831
Chagos Islands,1460.9348770720776
Sudan,1459.824245831585
Provence,1457.6049554368562
Zimbabwe,1457.580922978622
Barawa,1456.5703478998676
Namibia,1456.0425618546565
Togo,1455.244972790483
Sark,1451.7703614195757
Cuba,1450.2653310054598
Tanzania,1450.090770555452
Comoros,1448.3969203165643
Liberia,1448.0630484883682
Orkney,1444.2703326106473
Saint Helena,1444.2329350575776
Hitra,1442.996139080009
Rwanda,1439.7692337802748
Kiribati,1438.3858763161231
Saint Pierre and Miquelon,1437.9314259008308
Congo,1429.4178349498402
Darfur,1427.8125179540584
Lesotho,1427.2586262121654
Saint Martin,1422.5649081481267
Sint Maarten,1420.1490805260887
Ethiopia,1419.6721704647057
Saint Vincent and the Grenadines,1417.3454167092714
Philippines,1414.6917529223776
Belarus,1414.0685214133564
Mauritania,1412.6622332693828
Montenegro,1411.1762486986524
Botswana,1411.1180585601855
Saare County,1411.1113975733574
Bulgaria,1409.8668257758561
Bermuda,1409.2899445455896
Guinea-Bissau,1406.1563678231662
Burundi,1405.8864448546774
Tibet,1404.016594363059
Yemen,1401.660202033985
Hong Kong,1399.6018120971503
Central African Republic,1395.8336884297294
Saint Kitts and Nevis,1395.7269682011076
India,1395.0064704918168
Belize,1388.9366003909447
Grenada,1388.24798670059
Kazakhstan,1387.0892514674297
Singapore,1384.8833125092492
Tuvalu,1382.8641049532218
Afghanistan,1364.6586061605885
Bonaire,1362.2913564065216
Eswatini,1361.1910024407293
Saint Lucia,1361.1119641543723
Falkland Islands,1355.8729704674038
Frøya,1355.7105984692282
South Sudan,1350.8767880978933
Montserrat,1350.4142070033254
Samoa,1349.3663167117788
Luxembourg,1348.9360506314829
Armenia,1348.0649295119083
Aruba,1344.3854217271398
Eritrea,1336.5956411302584
Chad,1332.1401374015563
Faroe Islands,1324.392706814602
Barbados,1321.8804636378422
Antigua and Barbuda,1316.7179799818318
Azerbaijan,1315.8868742367838
Northern Mariana Islands,1315.1580683814454
Tonga,1314.5163122460553
Dominica,1313.5177350991721
Mauritius,1312.4985259223142
Cook Islands,1312.1588835340392
Estonia,1307.3018661773544
São Tomé and Príncipe,1299.1471102629996
Myanmar,1289.9875567600895
Alderney,1289.792123518233
Cyprus,1277.6103674758524
Cayman Islands,1272.6711054734305
Latvia,1271.7130848020001
Bangladesh,1270.4930995831637
Nepal,1258.4285577889907
Lithuania,1257.9000614142408
Mongolia,1254.027486962382
American Samoa,1252.112064700823
Maldives,1248.0281708899397
Moldova,1239.3876717408355
Bahamas,1236.7302394258131
Cambodia,1234.0027741079116
Turks and Caicos Islands,1231.0167226385345
Somalia,1224.8242070614726
Sri Lanka,1220.9390100405717
Malta,1219.3602261639974
British Virgin Islands,1219.059695965224
Pakistan,1216.0980480313901
Guam,1210.9904025975961
Taiwan,1206.2648298419329
United States Virgin Islands,1192.1780133214168
Brunei,1189.5833628721248
Djibouti,1186.2530519810136
Laos,1176.519457065598
Seychelles,1165.074153926824
Anguilla,1161.7672652184592
Bhutan,1144.8681314971075
Timor-Leste,1142.0255508593668
Macau,1127.3162861216454
Andorra,1094.0762015752596
Gibraltar,1091.2204398040556
Liechtenstein,1010.379867942835
San Marino,923.2264512251531
